contract_id,contract_version,customer_id,effective_start,effective_end,racks_entitled,power_commit_kw,price_per_kw,sla_tier,overage_allowed_flag
101,1,1,2023-01-01,2024-02-29,2,28.68,420.89,Standard,1
101,2,1,2024-03-01,2024-12-31,2,28.32,453.02,Standard,1
102,1,2,2023-01-01,2024-09-30,1,24.64,373.33,Premium,0
102,2,2,2024-10-01,2024-12-31,1,30.15,355.27,Premium,0
103,1,3,2023-01-01,2024-07-31,3,29.43,271.87,Standard,0
103,2,3,2024-08-01,2024-12-31,3,30.96,282.68,Standard,0
104,1,4,2023-01-01,2024-08-31,6,26.13,397.92,Premium,0
104,2,4,2024-09-01,2024-12-31,6,26.58,440.56,Premium,0
105,1,5,2023-01-01,2024-12-31,6,25.21,370.23,Standard,0
106,1,6,2023-01-01,2024-04-30,4,35.33,282.63,Premium,1
106,2,6,2024-05-01,2024-12-31,4,34.76,287.36,Premium,1
107,1,7,2023-01-01,2024-09-30,2,26.32,226.21,Standard,0
107,2,7,2024-10-01,2024-12-31,2,34.11,251.09,Standard,0
108,1,8,2023-01-01,2024-12-31,9,12.69,267.56,Standard,0
